ISBN, Title, Author, Category, Publisher, Edition, Price, Rating, Number of people rate
978-0593593806,SPARE,PRINCE HARRY THE DUKE OF SUSSEX,HISTORY,RANDOM HOUSE,2023,1.6,2.050000,4.000000
978-0593230572,THE 1619 PROJECT: A NEW ORIGIN STORY,NIKOLE HANNAH-JONES,HISTORY,ONE WORLD,2021,78.27,3,4
978-1982117351,THE SONG OF THE CELL: AN EXPLORATION OF MEDICINE AND THE NEW HUMAN,SIDDHARTHA MUKHERJEE,HISTORY,SCRIBNER,2022,46.73,1,1
978-1471164910,THE LOST CITY OF Z: A TALE OF DEADLY OBSESSION IN THE AMAZON,DAVID GRANN,HISTORY,SIMON & SCHUSTER LTD,2010,73.84,4.209091,88.000000
979-8218950880,THE DEEP STATE ENCYCLOPEDIA: EXPOSING THE CABAL'S PLAYBOOK,GRACE REALLYGRACEFUL ,HISTORY,REALLYGRACEFUL ,2023,97.32,0.562,8
978-0143109747,IN ORDER TO LIVE: A NORTH KOREAN GIRL'S JOURNEY TO FREEDOM,YEONMI PARK,HISTORY,PENGUIN BOOKS,2016,15.627,5,4
978-0593230275,CASTE: THE ORIGINS OF OUR DISCONTENTS,ISABEL WILKERSON,HISTORY,RANDOM HOUSE TRADE PAPERBACKS,2023,51.15,2.31,6
978-1510774049,THE GREAT RESET: AND THE WAR FOR THE WORLD,ALEX JONES,HISTORY,SKYHORSE,2022,62.38,2.9,18
978-0553393965,AND THERE WAS LIGHT: ABRAHAM LINCOLN AND THE AMERICAN STRUGGLE,JON MEACHAM,HISTORY,RANDOM HOUSE,2022,95.2,3,88
978-0140449334,MEDITATIONS (PENGUIN CLASSICS),MARCUS AURELIUS,HISTORY,PENGUIN CLASSICS,2006,42,4.1,4
978-0899683959,THE GHOST AND MRS. MUIR: VINTAGE MOVIE CLASSICS,ADRIANA TRIGIANI,MYSTERY,VINTAGE,2014,12,0.714285,7
978-1668003091,DIRTY THIRTY (STEPHANIE PLUM BOOK 30),JANET EVANOVICH,MYSTERY,ATRIA BOOKS,2023,21.65,4.3,3
978-0593496473,ALL GOOD PEOPLE HERE: A NOVEL,ASHLEY FLOWERS ,MYSTERY,BANTAM,2022,12.74,1.734,2
978-0593356159,THE MAID: A NOVEL,NITA PROSE,MYSTERY,BALLANTINE BOOKS,2022,27.86,1.85,10
978-1538719824,LONG SHADOWS (MEMORY MAN SERIES),DAVID BALDACCI,MYSTERY,GRAND CENTRAL PUBLISHING,2022,46.32,3.218,51
978-1250284099,PAYBACK IN DEATH: AN EVE DALLAS NOVEL,J. D. ROBB,MYSTERY,ST. MARTIN'S PRESS,2023,86.63,3.4,5
978-0316563765,RESURRECTION WALK,MICHAEL CONNELLY,MYSTERY,LITTLE BROWN AND COMPANY,2023,34,4.71875,16
978-1250284082,ENCORE IN DEATH: AN EVE DALLAS NOVEL,J. D. ROBB,MYSTERY,ST. MARTIN'S PRESS,2023,245.12,4.2,7
978-0525618614,UNNATURAL HISTORY: AN ALEX DELAWARE NOVEL,JONATHAN KELLERMAN,MYSTERY,BALLANTINE BOOKS,2023,73.61,1.627,8
978-1662504297,ALL HE HAS LEFT,CHAD ZUNKER,MYSTERY,THOMAS & MERCER,2023,20.21,3.7,96
978-0063082359,IT HAPPENED ONE SUMMER: A NOVEL (BELLINGER SISTERS BOOK 1),TESSA BAILEY,ROMANCE,AVON,2021,25.64,4.698795,83.000000
978-1542039741,A GIRL CALLED SAMSON: A NOVEL,AMY HARMON,ROMANCE,LAKE UNION PUBLISHING,2023,12.56,1.066667,9
978-1542016421,REGRETTING YOU,COLLEEN HOOVER,ROMANCE,MONTLAKE ,2019,78,4.171641,67.000000
978-1542034531,WHEN THE RAIN ENDS,MARY ELLEN TAYLOR,ROMANCE,MONTLAKE,2023,45.97,0.000000,95.000000
978-0062060624,THE SONG OF ACHILLES: A NOVEL,MADELINE MILLER,ROMANCE,ECCO,2012,95.34,2.800000,8.000000
978-1542000178,LAYLA,COLLEEN HOOVER,ROMANCE,MONTLAKE ,2020,5.34,2.500000,10.000000
978-0593587898,WORTHY OPPONENTS: A NOVEL,DANIELLE STEEL,ROMANCE,DELACORTE PRESS,2023,73.03,0.6,20
978-1250284112,IDENTITY: A NOVEL,NORA ROBERTS,ROMANCE,ST. MARTIN'S PRESS,2023,80.34,3.5,4
978-1476753164,MAYBE SOMEDAY (1),COLLEEN HOOVER,ROMANCE,ATRIA BOOKS,2014,6.41,1.26,6
978-1660089055,CREDENCE,PENELOPE DOUGLAS ,ROMANCE,INDEPENDENTLY PUBLISHED,2020,4.9,4.53,87
