ISBN, Title, Author, Category, Publisher, Edition, Price, Rating, Number of people rate
978-1538741900,THE STABLE BOY OF AUSCHWITZ: A HEARTBREAKING TRUE STORY OF COURAGE AND SURVIVAL,HENRY OSTER ,HISTORY,THREAD,2023,73.61,2.092364,11.000000
978-0063221345,THE BEST STRANGERS IN THE WORLD: STORIES FROM A LIFE SPENT LISTENING,ARI SHAPIRO,HISTORY,HARPERONE,2023,1.6,2.733333,3.000000
978-0743282031,HISTORY OF CHRISTIANITY,PAUL JOHNSON,HISTORY,TOUCHSTONE,2012,78.27,3,4
978-1250861504,STARRY MESSENGER: COSMIC PERSPECTIVES ON CIVILIZATION,NEIL DEGRASSE TYSON,HISTORY,HENRY HOLT AND CO.,2022,46.73,1,1
978-0385486804,INTO THE WILD,JON KRAKAUER,HISTORY,ANCHOR BOOKS,1997,73.84,4.2,87
978-1599869773,THE ART OF WAR,SUN TZU,HISTORY,FILIQUARIAN,2007,97.32,0.562,8
978-1250284303,COBALT RED: HOW THE BLOOD OF THE CONGO POWERS OUR LIVES,SIDDHARTH KARA,HISTORY,ST. MARTIN'S PRESS,2023,15.627,5.000000,5.000000
978-0008425043,LETTERS FROM A STOIC (PENGUIN CLASSICS),LUCIUS ANNAEUS SENECA,HISTORY,WILLIAM COLLINS,2021,51.15,2.31,6
978-0143112785,THE 33 STRATEGIES OF WAR (JOOST ELFFERS BOOKS),ROBERT GREENE,HISTORY,PENGUIN BOOKS,2007,62.38,2.9,18
978-0679745587,IN COLD BLOOD,TRUMAN CAPOTE,HISTORY,VINTAGE,1994,95.2,3.022472,89.000000
978-1940270999,CLUE KREWE (MISS FORTUNE MYSTERIES BOOK 24),JANA DELEON,MYSTERY,J&R PUBLISHING,2023,42,2.342857,7
978-0593497135,RIZZOLI & ISLES: LISTEN TO ME: A NOVEL,TESS GERRITSEN,MYSTERY,BALLANTINE BOOKS,2022,12,0,5
978-0385335553,TELL NO ONE: A NOVEL,HARLAN COBEN,MYSTERY,DELL,2009,21.65,4.3,3
978-0802162366,SO SHALL YOU REAP,DONNA LEON,MYSTERY,ATLANTIC MONTHLY PRESS,2023,12.74,1.734,2
978-1612186054,STONE MAIDENS,LLOYD DEVEREUX RICHARDS,MYSTERY,THOMAS & MERCER,2012,27.86,1.85,10
978-0062868947,THE GUEST LIST: A REESE'S BOOK CLUB PICK,LUCY FOLEY,MYSTERY,WILLIAM MORROW PAPERBACKS,2021,46.32,3.218,51
978-1538720998,THE LAST KINGDOM (COTTON MALONE BOOK 17),STEVE BERRY,MYSTERY,GRAND CENTRAL PUBLISHING,2023,86.63,3.4,5
978-0316375252,THE PERFECT COUPLE,ELIN HILDERBRAND,MYSTERY,BACK BAY BOOKS,2019,34,4.71875,16
978-0593542811,UNTITLED PREY 33 (A PREY NOVEL),JOHN SANDFORD,MYSTERY,G.P. PUTNAM'S SONS,2023,6.41,1.26,6
978-1542034456,THE MAID'S DIARY: A NOVEL,LORETH ANNE WHITE,MYSTERY,MONTLAKE ,2023,4.9,4.53,87
978-0593440872,BOOK LOVERS,EMILY HENRY,ROMANCE,BERKLEY,2022,245.12,2.94,10
978-1728276120,THINGS WE LEFT BEHIND (KNOCKEMOUT BOOK 3),LUCY SCORE,ROMANCE,BLOOM BOOKS,2023,20.21,3.587879,99
978-1639730964,CROWN OF MIDNIGHT (THRONE OF GLASS BOOK 2),SARAH J. MAAS,ROMANCE,BLOOMSBURY PUBLISHING,2013,25.64,4.936709,79
979-8777213471,THE RITUAL: A DARK COLLEGE ROMANCE,SHANTEL TESSIER,ROMANCE,INDEPENDENTLY PUBLISHED,2021,12.56,0.96,10
978-1984806758,PEOPLE WE MEET ON VACATION,EMILY HENRY,ROMANCE,BERKLEY,2021,78,4.246268,67.000000
978-1952457470,A KINGDOM OF FLESH AND FIRE,JENNIFER L. ARMENTROUT,ROMANCE,BLUE BOX PRESS,2020,45.97,0,93
978-1662509971,I'LL STOP THE WORLD: A NOVEL,LAUREN THOMAN,ROMANCE,MINDY'S BOOK STUDIO,2023,95.34,3.2,7
978-1984821584,INVISIBLE: A NOVEL,DANIELLE STEEL,ROMANCE,DELL,2022,5.34,2.5,8
978-1662511608,THE ECHO OF OLD BOOKS: A NOVEL,BARBARA DAVIS,ROMANCE,LAKE UNION PUBLISHING,2023,73.03,0.6,20
978-1959344094,THE FAE PRINCES (VICIOUS LOST BOYS),NIKKI ST. CROWE,ROMANCE,BLACKWELL HOUSE LLC,2023,80.34,3.5,4
